"a1";"a2";"a3133333333333333331311313";"a4";"id";"labellökjdfhlökja09436kmsng 092352kns 0935 2lk091 lk 9ß"
5.1;3.5;1.4;0.2;"id_1";"Iris-setosa"
4.9;3.0;1.4;0.2;"id_2";"Iris-setosa"
4.7;3.2;1.3;0.2;"id_3";"Iris-setosa"
4.6;3.1;1.5;0.2;"id_4";"Iris-setosa"
5.0;3.6;1.4;0.2;"id_5";"Iris-setosa"
5.4;3.9;1.7;0.4;"id_6";"Iris-setosa"
4.6;3.4;1.4;0.3;"id_7";"Iris-setosa"
5.0;3.4;1.5;0.2;"id_8";"Iris-setosa"
4.4;2.9;1.4;0.2;"id_9";"Iris-setosa"
4.9;3.1;1.5;0.1;"id_10";"Iris-setosa"
5.4;3.7;1.5;0.2;"id_11";"Iris-setosa"
4.8;3.4;1.6;0.2;"id_12";"Iris-setosa"
4.8;3.0;1.4;0.1;"id_13";"Iris-setosa"
4.3;3.0;1.1;0.1;"id_14";"Iris-setosa"
5.8;4.0;1.2;0.2;"id_15";"Iris-setosa"
5.7;4.4;1.5;0.4;"id_16";"Iris-setosa"
5.4;3.9;1.3;0.4;"id_17";"Iris-setosa"
5.1;3.5;1.4;0.3;"id_18";"Iris-setosa"
5.7;3.8;1.7;0.3;"id_19";"Iris-setosa"
5.1;3.8;1.5;0.3;"id_20";"Iris-setosa"
5.4;3.4;1.7;0.2;"id_21";"Iris-setosa"
5.1;3.7;1.5;0.4;"id_22";"Iris-setosa"
4.6;3.6;1.0;0.2;"id_23";"Iris-setosa"
5.1;3.3;1.7;0.5;"id_24";"Iris-setosa"
4.8;3.4;1.9;0.2;"id_25";"Iris-setosa"
5.0;3.0;1.6;0.2;"id_26";"Iris-setosa"
5.0;3.4;1.6;0.4;"id_27";"Iris-setosa"
5.2;3.5;1.5;0.2;"id_28";"Iris-setosa"
5.2;3.4;1.4;0.2;"id_29";"Iris-setosa"
4.7;3.2;1.6;0.2;"id_30";"Iris-setosa"
4.8;3.1;1.6;0.2;"id_31";"Iris-setosa"
5.4;3.4;1.5;0.4;"id_32";"Iris-setosa"
5.2;4.1;1.5;0.1;"id_33";"Iris-setosa"
5.5;4.2;1.4;0.2;"id_34";"ööüäß"
4.9;3.1;1.5;0.1;"id_35";"Iris-setosa"
5.0;3.2;1.2;0.2;"id_36";"Iris-setosa"
5.5;3.5;1.3;0.2;"id_37";"Iris-setosa"
4.9;3.1;1.5;0.1;"id_38";"Iris-setosa"
4.4;3.0;1.3;0.2;"id_39";"Iris-setosa"
5.1;3.4;1.5;0.2;"id_40";"Iris-setosa"
5.0;3.5;1.3;0.3;"id_41";"Iris-setosa"
4.5;2.3;1.3;0.3;"id_42";"Iris-setosa"   
4.4;3.2;1.3;0.2;"id_43";"Iris-setosa"
5.0;3.5;1.6;0.6;"id_44";"Iris-setosa"
5.1;3.8;1.9;0.4;"id_45";"Iris-setosa"
4.8;3.0;1.4;0.3;"id_46";"Iris-setosa"
5.1;3.8;1.6;0.2;"id_47";"Iris-setosa"
4.6;3.2;1.4;0.2;"id_48";"Iris-setosa"
5.3;3.7;1.5;0.2;"id_49";"Iris-setosa"
5.0;3.3;1.4;0.2;"id_50";"Iris-setosa"
7.0;3.2;4.7;1.4;"id_51";"Iris-versicolor"
6.4;3.2;4.5;1.5;"id_52";"Iris-versicolor"
6.9;3.1;4.9;1.5;"id_53";"Iris-versicolor"
5.5;2.3;4.0;1.3;"id_54";"Iris-versicolor"
6.5;2.8;4.6;1.5;"id_55";"Iris-versicolor"
5.7;2.8;4.5;1.3;"id_56";"Iris-versicolor"
6.3;3.3;4.7;1.6;"id_57";"Iris-versicolor"
4.9;2.4;3.3;1.0;"id_58";"Iris-versicolor"
6.6;2.9;4.6;1.3;"id_59";"Iris-versicolor"
5.2;2.7;3.9;1.4;"id_60";"Iris-versicolor"
5.0;2.0;3.5;1.0;"id_61";"Iris-versicolor"
5.9;3.0;4.2;1.5;"id_62";"Iris-versicolor"
6.0;2.2;4.0;1.0;"id_63";"Iris-versicolor"
6.1;2.9;4.7;1.4;"id_64";"Iris-versicolor"
5.6;2.9;3.6;1.3;"id_65";"Iris-versicolor"
6.7;3.1;4.4;1.4;"id_66";"Iris-versicolor"
5.6;3.0;4.5;1.5;"id_67";"Iris-versicolor"
5.8;2.7;4.1;1.0;"id_68";"Iris-versicolor"
6.2;2.2;4.5;1.5;"id_69";"Iris-versicolor"
5.6;2.5;3.9;1.1;"id_70";"Iris-versicolor"
5.9;3.2;4.8;1.8;"id_71";"Iris-versicolor"
6.1;2.8;4.0;1.3;"id_72";"Iris-versicolor"
6.3;2.5;4.9;1.5;"id_73";"Iris-versicolor"
6.1;2.8;4.7;1.2;"id_74";"Iris-versicolor"
6.4;2.9;4.3;1.3;"id_75";"Iris-versicolor"
6.6;3.0;4.4;1.4;"id_76";"Iris-versicolor"
6.8;2.8;4.8;1.4;"id_77";"Iris-versicolor"
6.7;3.0;5.0;1.7;"id_78";"Iris-versicolor"
6.0;2.9;4.5;1.5;"id_79";"Iris-versicolor"
5.7;2.6;3.5;1.0;"id_80";"Iris-versicolor"
5.5;2.4;3.8;1.1;"id_81";"Iris-versicolor"
5.5;2.4;3.7;1.0;"id_82";"Iris-versicolor"
5.8;2.7;3.9;1.2;"id_83";"Iris-versicolor"
6.0;2.7;5.1;1.6;"id_84";"Iris-versicolor"
5.4;3.0;4.5;1.5;"id_85";"Iris-versicolor"
6.0;3.4;4.5;1.6;"id_86";"Iris-versicolor"
6.7;3.1;4.7;1.5;"id_87";"Iris-versicolor"
6.3;2.3;4.4;1.3;"id_88";"Iris-versicolor"
5.6;3.0;4.1;1.3;"id_89";"Iris-versicolor"
5.5;2.5;4.0;1.3;"id_90";"Iris-versicolor"
5.5;2.6;4.4;1.2;"id_91";"Iris-versicolor"
6.1;3.0;4.6;1.4;"id_92";"Iris-versicolor"
5.8;2.6;4.0;1.2;"id_93";"Iris-versicolor"
5.0;2.3;3.3;1.0;"id_94";"Iris-versicolor"
5.6;2.7;4.2;1.3;"id_95";"Iris-versicolor"
5.7;3.0;4.2;1.2;"id_96";"Iris-versicolor"
5.7;2.9;4.2;1.3;"id_97";"Iris-versicolor"
6.2;2.9;4.3;1.3;"id_98";"Iris-versicolor"
5.1;2.5;3.0;1.1;"id_99";"Iris-versicolor"
5.7;2.8;4.1;1.3;"id_100";"Iris-versicolor"
6.3;3.3;6.0;2.5;"id_101";"Iris-virginica"
5.8;2.7;5.1;1.9;"id_102";"Iris-virginica"
7.1;3.0;5.9;2.1;"id_103";"Iris-virginica"
6.3;2.9;5.6;1.8;"id_104";"Iris-virginica"
6.5;3.0;5.8;2.2;"id_105";"Iris-virginica"
7.6;3.0;6.6;2.1;"id_106";"Iris-virginica"
4.9;2.5;4.5;1.7;"id_107";"Iris-virginica"
